created_at;display_name;hero_archetypes;icon;id;image_style;is_active;merchant_facing;palette_hints;prompt_addendum;section_priority;sort_order;subcategory;updated_at;vertical;vocabulary
2026-05-19 09:06:07.378889+00;Women's Ethnic Wear;;;a1e84320-7955-49a1-bae5-5ff8b6659dc4;model in traditional attire, fabric closeup, festive setting;true;true;jewel tones, gold accents, deep maroons, emerald;Indian ethnic — sarees, lehengas, kurtas, suits. Elegant editorial styling with festive richness.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""brand_marquee"",""testimonials"",""newsletter""]";10;womens-ethnic;2026-05-19 09:06:07.378889+00;fashion;Drape, weave, occasion, handcrafted, festive
2026-05-19 09:06:07.378889+00;Women's Western Wear;;;3ac9f5d9-160c-4a3d-ac2d-6175920c1c5a;studio model shots, flat-lay, lifestyle;true;true;muted neutrals, soft pastels, monochrome;Contemporary western — dresses, tops, denim. Clean modern editorial.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""image_with_text"",""testimonials"",""newsletter""]";11;womens-western;2026-05-19 09:06:07.378889+00;fashion;Effortless, contemporary, wardrobe staple, silhouette
2026-05-19 09:06:07.378889+00;Men's Ethnic Wear;;;d0fe4791-84f8-47cc-9d9c-32e5be144df6;groom-style portraits, fabric detail;true;true;rich indigo, ivory, gold, deep wine;Indian ethnic for men — kurtas, sherwanis, nehru jackets.;"[""announcement_bar"",""hero"",""featured_products"",""category_grid"",""testimonials"",""trust_badges"",""newsletter""]";12;mens-ethnic;2026-05-19 09:06:07.378889+00;fashion;Regal, festive, occasion, tailored
2026-05-19 09:06:07.378889+00;Men's Western Wear;;;c4138893-7a6e-4dc8-8cea-61bf7746cb7c;editorial menswear, lifestyle;true;true;navy, olive, charcoal, white;Modern menswear — shirts, jeans, jackets.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""trust_badges"",""newsletter""]";13;mens-western;2026-05-19 09:06:07.378889+00;fashion;Sharp, refined, everyday, fit
2026-05-19 09:06:07.378889+00;Kids Wear;;;6fdce66c-8e7e-4de5-9dff-8dbc319139e0;smiling kids, playful flat-lay;true;true;bright primaries, soft pastels;Playful, colourful, parents-shopping vibe.;"[""announcement_bar"",""hero"",""category_grid"",""featured_products"",""testimonials"",""newsletter""]";14;kids;2026-05-19 09:06:07.378889+00;fashion;Adorable, comfy, easy-wash, sizes
2026-05-19 09:06:07.378889+00;Footwear;;;777f2b98-ede8-46a3-9296-3051ed33ca00;shoe-on-foot, hero on coloured backdrop;true;true;warm tan, black, accent pop;Shoes, sandals, juttis, sneakers.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""trust_badges"",""newsletter""]";15;footwear;2026-05-19 09:06:07.378889+00;fashion;Comfort, craftsmanship, sole, fit
2026-05-19 09:06:07.378889+00;Bags & Luggage;;;d80f0262-3735-4662-a8aa-0cd422666d41;still-life on textured surface;true;true;tan, black, burgundy;Handbags, totes, backpacks, luggage.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";16;bags;2026-05-19 09:06:07.378889+00;fashion;Crafted, organised, journey, capacity
2026-05-19 09:06:07.378889+00;Fashion Accessories;;;d1bc9acf-7fac-4a48-bf69-f407f134dbd7;flat-lay, model styled;true;true;neutral with bright accent;Scarves, belts, sunglasses, hats.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""newsletter""]";17;accessories;2026-05-19 09:06:07.378889+00;fashion;Finishing touch, style, mix-and-match
2026-05-19 09:06:07.378889+00;Fashion Jewellery;;;0fe41a8a-b802-47ff-a021-595f13f6f6e0;macro shots, model neck/wrist;true;true;rose gold, blush, charcoal;Costume + artisan jewellery.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""newsletter""]";18;jewellery-fashion;2026-05-19 09:06:07.378889+00;fashion;Statement, daily wear, handcrafted
2026-05-19 09:06:07.378889+00;Innerwear & Loungewear;;;50d1a6ce-902c-4cc5-8ea2-c7292237e2b2;soft lifestyle, modest model;true;true;blush, beige, sage;Comfortable, soft, inclusive.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";19;innerwear;2026-05-19 09:06:07.378889+00;fashion;Comfort, breathable, everyday
2026-05-19 09:06:07.378889+00;Plus Size Fashion;;;b8ca9e0f-57ab-4a39-bb22-a01d351ecaf7;diverse models, celebratory;true;true;warm jewel tones;Inclusive, confident, body-positive.;"[""announcement_bar"",""hero"",""featured_products"",""testimonials"",""image_with_text"",""newsletter""]";20;plus-size;2026-05-19 09:06:07.378889+00;fashion;Confident, inclusive, true-to-size
2026-05-19 09:06:07.378889+00;Maternity Wear;;;c159c15c-7d99-46f0-b67e-0dd1b1738510;soft natural light, expectant mother;true;true;soft pastels, cream;Soft, comfortable, supportive.;"[""announcement_bar"",""hero"",""featured_products"",""testimonials"",""trust_badges"",""newsletter""]";21;maternity;2026-05-19 09:06:07.378889+00;fashion;Comfort, glow, nurturing
2026-05-19 09:06:07.378889+00;Sportswear & Activewear;;;e85069a3-524a-415e-9357-7ed41631dff6;action shots, gym/outdoor;true;true;black, neon accents;Performance, sweat-wicking, bold.;"[""announcement_bar"",""hero"",""featured_products"",""brand_marquee"",""trust_badges"",""newsletter""]";22;sportswear;2026-05-19 09:06:07.378889+00;fashion;Performance, breathable, power
2026-05-19 09:06:07.378889+00;Gold Jewellery;;;91512f66-89fd-4ac8-9aac-35726e86f668;macro on dark velvet, glowing;true;true;deep gold, cream, dark backdrop;22k/24k Indian gold designs, traditional + modern.;"[""announcement_bar"",""hero"",""collection_showcase"",""trust_badges"",""testimonials"",""newsletter""]";30;gold;2026-05-19 09:06:07.378889+00;jewellery;BIS hallmark, karat, bridal, heirloom
2026-05-19 09:06:07.378889+00;Silver Jewellery;;;be4bb297-f070-455e-8edc-a9cab18b45fb;macro on slate;true;true;silver, slate, soft white;925 silver, oxidised, tribal.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""newsletter""]";31;silver;2026-05-19 09:06:07.378889+00;jewellery;Sterling, oxidised, handcrafted
2026-05-19 09:06:07.378889+00;Diamond Jewellery;;;8c4c8b84-a454-4b64-a789-4dc45d031ea1;macro sparkle, dark luxe backdrop;true;true;platinum, ice white, deep black;Certified, fine craftsmanship.;"[""announcement_bar"",""hero"",""collection_showcase"",""trust_badges"",""testimonials"",""newsletter""]";32;diamond;2026-05-19 09:06:07.378889+00;jewellery;Carat, clarity, certified, brilliance
2026-05-19 09:06:07.378889+00;Gemstone Jewellery;;;8326a216-05a2-4c27-92e0-38c9b3ff3772;stone macro, hero rings;true;true;jewel tones on black;Coloured stones — emerald, ruby, sapphire.;"[""announcement_bar"",""hero"",""collection_showcase"",""image_with_text"",""newsletter""]";33;gemstone;2026-05-19 09:06:07.378889+00;jewellery;Precious, certified, astro
2026-05-19 09:06:07.378889+00;Artificial Jewellery;;;dab567b9-88c3-4907-9e3d-072aaa784586;model styled, flat-lay;true;true;rose gold, blush;Trendy, affordable, festive.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""newsletter""]";34;artificial;2026-05-19 09:06:07.378889+00;jewellery;Trend, festive, affordable
2026-05-19 09:06:07.378889+00;Watches;;;9c114923-483d-45df-a03a-5274dcfe17ed;macro dial, wrist shot;true;true;black, gunmetal, silver;Wrist watches — classic, smart, fashion.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";35;watches;2026-05-19 09:06:07.378889+00;jewellery;Movement, dial, strap, precision
2026-05-19 09:06:07.378889+00;Luxury Leather Goods;;;e28ffe55-11e3-4f0b-ab1b-8d76928f918e;still-life on wood;true;true;cognac, espresso;Wallets, belts, briefcases.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";36;luxury-leather;2026-05-19 09:06:07.378889+00;jewellery;Heritage, craftsmanship, full-grain
2026-05-19 09:06:07.378889+00;Designer Couture;;;5b75db45-761a-4ede-a892-1c20f6966e46;runway shots, atelier moodboard;true;true;deep red, gold, ivory;Bespoke, runway, festive bridal.;"[""announcement_bar"",""hero"",""collection_showcase"",""image_with_text"",""testimonials"",""newsletter""]";37;designer-couture;2026-05-19 09:06:07.378889+00;jewellery;Atelier, bespoke, signature
2026-05-19 09:06:07.378889+00;Skincare;;;338e411c-93e0-420f-a849-0aae44e214af;product macro on soft surfaces;true;true;blush, sage, cream;Cleansers, serums, moisturisers.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""testimonials"",""trust_badges"",""newsletter""]";40;skincare;2026-05-19 09:06:07.378889+00;beauty;Glow, barrier, hydration, gentle
2026-05-19 09:06:07.378889+00;Haircare;;;4d691a2b-4327-4b22-8bfd-09d24f87cfc7;hair flow, oil drop macro;true;true;olive, amber, soft cream;Shampoo, oils, treatments.;"[""announcement_bar"",""hero"",""featured_products"",""testimonials"",""trust_badges"",""newsletter""]";41;haircare;2026-05-19 09:06:07.378889+00;beauty;Nourish, shine, strength
2026-05-19 09:06:07.378889+00;Makeup;;;2c03b755-c2af-4178-98e8-9727eaca3f37;swatches, model close-up;true;true;bold reds, nudes, jet black;Lipstick, eyeshadow, foundation.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""newsletter""]";42;makeup;2026-05-19 09:06:07.378889+00;beauty;Pigment, shade, blendable
2026-05-19 09:06:07.378889+00;Fragrance;;;b323b0cc-0860-4077-8d17-1da5a5475917;bottle macro on draped silk;true;true;amber, deep teal, gold;Perfumes, attars, body mists.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""collection_showcase"",""newsletter""]";43;fragrance;2026-05-19 09:06:07.378889+00;beauty;Notes, accord, signature
2026-05-19 09:06:07.378889+00;Men's Grooming;;;7abdffbb-0962-4a82-b403-b89525c8937c;dark moody product shots;true;true;charcoal, slate, copper;Beard, shave, skincare for men.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";44;mens-grooming;2026-05-19 09:06:07.378889+00;beauty;Sharp, refined, daily ritual
2026-05-19 09:06:07.378889+00;Ayurvedic Beauty;;;9e67360b-cde3-47ff-9f2a-55c08228be07;herbs, ingredients, brass utensils;true;true;sandalwood, deep green, ivory;Herbal, time-tested formulations.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""testimonials"",""trust_badges"",""newsletter""]";45;ayurvedic-beauty;2026-05-19 09:06:07.378889+00;beauty;Ayurveda, herbal, vata-pitta-kapha
2026-05-19 09:06:07.378889+00;K-Beauty;;;cb8803ad-7d15-4f3a-b5a1-f96c2fcf12af;dewy product shots, pastel sets;true;true;pastel pink, mint, white;10-step routines, glass skin.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""testimonials"",""newsletter""]";46;korean-beauty;2026-05-19 09:06:07.378889+00;beauty;Glass skin, ampoule, essence
2026-05-19 09:06:07.378889+00;Salon Products;;;c897f191-1fab-44f4-9bfa-fc9cac73f08b;salon-floor product shots;true;true;deep teal, gold;Professional grade.;"[""announcement_bar"",""hero"",""featured_products"",""brand_marquee"",""trust_badges"",""newsletter""]";47;salon-products;2026-05-19 09:06:07.378889+00;beauty;Pro-grade, salon, lasting
2026-05-19 09:06:07.378889+00;Ayurveda Products;;;cc9e39cd-ba01-4690-aed4-14673b396368;herbs, mortar-pestle, brass;true;true;sage green, sandalwood;Authentic Ayurvedic remedies.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""testimonials"",""trust_badges"",""newsletter""]";50;ayurveda;2026-05-19 09:06:07.378889+00;health;Dosha, herbal, classical
2026-05-19 09:06:07.378889+00;Supplements & Nutrition;;;cdfcf826-9683-49d6-a4fb-5afcfd849cc2;clean product shots, gym lifestyle;true;true;deep blue, white;Vitamins, protein, fitness supplements.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";51;supplements;2026-05-19 09:06:07.378889+00;health;Clinically backed, daily intake
2026-05-19 09:06:07.378889+00;Fitness Equipment;;;78df4f69-9c94-40cc-bdcb-fc89b0b467e5;action shots, gym setting;true;true;black, neon accent;Home gym gear.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";52;fitness-equipment;2026-05-19 09:06:07.378889+00;health;Strength, endurance, home gym
2026-05-19 09:06:07.378889+00;Yoga Gear;;;537d1709-23ba-461c-b213-1dc4f862375d;calm studio scenes;true;true;sage, terracotta, cream;Mats, props, apparel.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""testimonials"",""newsletter""]";53;yoga;2026-05-19 09:06:07.378889+00;health;Mindful, flow, alignment
2026-05-19 09:06:07.378889+00;Medical Devices;;;f7de98f2-854e-4618-9050-03483b893dbf;clean medical product shots;true;true;clinical white, soft blue;BP monitors, thermometers, nebulisers.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";54;medical-devices;2026-05-19 09:06:07.378889+00;health;Accurate, doctor-recommended, FDA
2026-05-19 09:06:07.378889+00;Sexual Wellness;;;6f086fe7-59ce-4166-bd2c-21425b4c7268;minimalist product, abstract;true;true;muted plum, blush;Discreet, body-positive.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";55;sexual-wellness;2026-05-19 09:06:07.378889+00;health;Discreet, body-positive, hygienic
2026-05-19 09:06:07.378889+00;Mother & Baby Care;;;e924da58-742c-44fa-9110-07e6152c897f;soft lifestyle with infants;true;true;soft pastels;Gentle, dermatologically safe.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""testimonials"",""newsletter""]";56;mother-baby;2026-05-19 09:06:07.378889+00;health;Gentle, paediatrician-approved
2026-05-19 09:06:07.378889+00;Elderly Care;;;ec0769ca-5827-4548-b163-b3a3828008ef;warm intergenerational scenes;true;true;warm beige, deep green;Mobility, safety, comfort.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""testimonials"",""trust_badges"",""newsletter""]";57;elderly-care;2026-05-19 09:06:07.378889+00;health;Independence, comfort, safety
2026-05-19 09:06:07.378889+00;Hearing Aids;;;14ab4134-5278-45b6-962e-de0f24e4a4b9;clean product, lifestyle;true;true;soft blue, white;Discreet hearing solutions.;"[""announcement_bar"",""hero"",""featured_products"",""testimonials"",""trust_badges"",""newsletter""]";58;hearing-aids;2026-05-19 09:06:07.378889+00;health;Clarity, discreet, life-changing
2026-05-19 09:06:07.378889+00;Optical & Eyewear;;;844ec8ad-9d2d-4503-ae8d-90eaa5f0039d;frame close-ups, model wearing;true;true;charcoal, soft beige;Glasses, contacts.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";59;optical;2026-05-19 09:06:07.378889+00;health;Vision, frame fit, style
2026-05-19 09:06:07.378889+00;Packaged Snacks;;;e21cf875-5f55-491d-b867-bff9fb53a59d;vibrant flat-lay with ingredients;true;true;warm orange, deep red;Chips, namkeen, savoury treats.;"[""announcement_bar"",""hero"",""featured_products"",""brand_marquee"",""testimonials"",""newsletter""]";70;packaged-snacks;2026-05-19 09:06:07.378889+00;food;Crunchy, namkeen, regional
2026-05-19 09:06:07.378889+00;Sweets & Mithai;;;8a7ca3c2-b7b5-477c-b030-bf5d6760e221;rich mithai macros, brass platters;true;true;saffron, gold, deep cream;Traditional Indian sweets.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""testimonials"",""newsletter""]";71;sweets-mithai;2026-05-19 09:06:07.378889+00;food;Halwai, festive, ghee-rich
