auto_recharge_enabled;auto_recharge_pack_id;balance;created_at;lifetime_purchased;lifetime_saved_inr;lifetime_saved_minutes;lifetime_used;low_balance_notified_at;loyalty_tier;store_id;updated_at;welcome_grant_given;zero_balance_notified_at
false;;983;2026-05-05 19:22:45.749438+00;1000;448.470;45;17;;bronze;247470d1-b5e6-4e13-b631-e701e2b03d8e;2026-05-08 10:51:59.728045+00;false;
false;;435;2026-05-06 07:44:18.848237+00;500;2314.150;266;65;;bronze;309b2d56-2ed2-4705-b762-b80c8774bda6;2026-07-07 07:24:49.39674+00;false;
false;;4992;2026-05-07 11:27:06.502982+00;0;149.280;15;8;;bronze;fe5f46de-42e3-44c5-8538-3337ed057f4a;2026-05-07 11:39:14.435354+00;false;
false;;440;2026-05-17 23:16:43.702436+00;500;1144.600;165;60;;bronze;6cdeb4fd-d936-4241-bf7d-f3843048a703;2026-06-09 10:23:35.952389+00;false;
false;;500;2026-05-18 15:13:54.670909+00;500;0;0;0;;bronze;7caed475-7d73-45bd-bb72-8bafaeadf34b;2026-05-26 08:58:47.729372+00;false;
false;;0;2026-05-19 08:21:45.677381+00;0;0;0;0;;bronze;5ca31d95-69fd-47e8-8a0d-467cbeceb751;2026-05-19 08:21:45.677381+00;false;
false;;0;2026-05-19 08:46:12.36916+00;0;0;0;0;;bronze;1837df47-061b-4dc0-9fe7-cbea5830ff51;2026-05-19 08:46:12.36916+00;false;
false;;164;2026-05-19 17:19:57.979602+00;0;696.760;120;36;;bronze;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;2026-05-26 09:00:54.862025+00;false;
false;;100;2026-05-20 18:00:23.106718+00;100;0;0;0;;bronze;c6682c1f-f366-4196-9f96-8a394b3a5632;2026-05-20 18:00:23.106718+00;false;
false;;100;2026-05-20 18:45:01.027539+00;100;0;0;0;;bronze;d2b27614-f24d-42d6-9f49-a87df7443e0e;2026-05-20 18:45:01.027539+00;false;
false;;100;2026-05-20 19:01:13.104663+00;100;0;0;0;;bronze;b3b3c0e9-403c-4355-aa76-f7b9c35a0bdc;2026-05-20 19:01:13.104663+00;false;
false;;92;2026-05-21 07:14:22.377998+00;100;149.280;15;8;;bronze;25f81744-8f50-4795-a675-0df8386e07b4;2026-05-21 07:16:18.623739+00;false;
false;;28;2026-05-24 07:57:49.282233+00;100;1343.520;135;72;;bronze;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;2026-05-24 08:47:26.10511+00;false;
false;;100;2026-05-24 08:29:53.235215+00;100;0;0;0;;bronze;a4c8b82c-24e1-4555-9855-c9ce4bc5965d;2026-05-24 08:29:53.235215+00;false;
false;;100;2026-05-24 11:23:33.186162+00;100;0;0;0;;bronze;e0f3528b-4174-474c-b6b2-f915bd7effd4;2026-05-24 11:23:33.186162+00;false;
false;;100;2026-05-24 17:49:42.87264+00;100;0;0;0;;bronze;400b4b21-1e5f-40e0-bbe4-1366763b110e;2026-05-24 17:49:42.87264+00;false;
false;;92;2026-05-25 07:10:25.490778+00;100;149.280;15;8;;bronze;5d0e9d32-975d-4b39-a347-0fd2dea3ceda;2026-05-25 08:34:46.629574+00;false;
false;;100;2026-05-25 16:05:11.27941+00;100;0;0;0;;bronze;78f7af87-dee0-42dd-9554-08639d80353f;2026-05-25 16:05:11.27941+00;false;
false;;90;2026-05-26 09:03:27.973503+00;100;449.100;45;10;;bronze;9d6f2384-af2c-45f1-96ed-8e597aca2f4c;2026-05-26 09:36:34.623258+00;false;
false;;100;2026-05-26 15:07:55.878587+00;100;0;0;0;;bronze;8f17db86-5359-4f34-aa42-b24d6204fcf2;2026-05-26 15:07:55.878587+00;false;
false;;100;2026-05-26 16:45:47.149375+00;100;0;0;0;;bronze;b839485d-2c77-4d9d-8a32-631bbcdf10cd;2026-05-26 16:45:47.149375+00;false;
false;;100;2026-05-29 09:54:19.944942+00;100;0;0;0;;bronze;b4da479a-225a-4b48-8fda-b131183d9dc4;2026-05-29 09:54:19.944942+00;false;
false;;100;2026-06-02 03:38:52.615116+00;100;0;0;0;;bronze;27ad5816-5195-4d61-8438-e0190addc761;2026-06-02 03:38:52.615116+00;false;
false;;91;2026-06-02 09:53:17.691292+00;100;169.190;25;9;;bronze;17fc6fa6-1d54-4bd9-9795-39ff472f151c;2026-06-02 10:18:46.999975+00;false;
false;;100;2026-06-08 09:21:17.596527+00;100;0;0;0;;bronze;b19973d6-bdfc-45c7-8e7e-a64ffe5ae6c1;2026-06-08 09:21:17.596527+00;false;
false;;92;2026-06-12 08:22:30.567184+00;100;149.280;15;8;;bronze;a72ad055-45ae-4a0a-9f90-b268ef6da982;2026-06-12 08:25:59.12756+00;false;
false;;5977;2026-06-13 13:17:16.410076+00;1100;3538.930;366;123;;bronze;d9af8911-7c81-4008-99c7-97c6a57a9261;2026-06-29 08:38:31.774249+00;false;
false;;92;2026-06-16 12:30:03.79428+00;100;149.280;15;8;;bronze;cb7f6293-1aa4-4584-908f-b7316a09114d;2026-06-16 12:33:31.530637+00;false;
false;;100;2026-06-18 16:32:57.694798+00;100;0;0;0;;bronze;9a89bacb-121b-4515-9956-201377e9c8eb;2026-06-18 16:32:57.694798+00;false;
false;;100;2026-06-19 02:03:20.632175+00;100;0;0;0;;bronze;87bf2cf0-c4d7-458f-9c61-ff126a8d7e2c;2026-06-19 02:03:20.632175+00;false;
false;;98;2026-06-21 07:05:42.729174+00;100;49.820;30;2;;bronze;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3;2026-07-14 06:20:28.664646+00;false;
false;;999999999;2026-06-27 14:00:38.475258+00;999999999;0;0;0;;platinum;1929a8ef-880e-472e-adbb-743c78218084;2026-06-27 14:08:57.021306+00;false;
false;;92;2026-07-03 09:19:23.050073+00;100;149.280;15;8;;bronze;bfd4c23b-2e0f-43f0-a5ae-702fc13170f8;2026-07-03 09:25:03.757582+00;false;
false;;100;2026-07-03 09:19:49.737067+00;100;0;0;0;;bronze;c072c795-15a2-4ba8-972b-7654728939c7;2026-07-03 09:19:49.737067+00;false;
false;;100;2026-07-07 07:11:14.841142+00;100;0;0;0;;bronze;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b;2026-07-07 07:11:14.841142+00;false;
false;;100;2026-07-07 11:36:12.854357+00;100;0;0;0;;bronze;641a27a9-a9f9-43be-a5b7-237f28ddda56;2026-07-07 11:36:12.854357+00;false;
false;;100;2026-07-07 12:51:38.019263+00;100;0;0;0;;bronze;68fdebfc-c85c-4b39-903b-263e00877ac5;2026-07-07 12:51:38.019263+00;false;
false;;90;2026-07-07 14:33:24.55643+00;100;199.100;8;10;;bronze;cf162297-7491-44b6-a565-1527e5b052f3;2026-07-07 14:41:15.046853+00;false;
false;;100;2026-07-09 05:33:10.890873+00;100;0;0;0;;bronze;32c7944f-7eb4-41ae-8f28-20450f1601d3;2026-07-09 05:33:10.890873+00;false;
false;;100;2026-07-10 17:59:01.53791+00;100;0;0;0;;bronze;1225855b-35c5-4b78-bd1a-d55db3003f0f;2026-07-10 17:59:01.53791+00;false;
false;;100;2026-07-15 08:57:38.419469+00;100;0;0;0;;bronze;6a6d7f3a-5c51-47f2-84f4-6cdda23cec46;2026-07-15 08:57:38.419469+00;false;
false;;84;2026-07-15 09:51:03.407859+00;100;298.560;30;16;;bronze;abed0fec-3e57-47eb-8781-e7beac7ceb0e;2026-07-15 10:31:22.206404+00;false;
false;;100;2026-07-15 10:43:35.660087+00;100;0;0;0;;bronze;12195d43-1057-413c-aebb-f977210b36a2;2026-07-15 10:43:35.660087+00;false;
false;;100;2026-07-15 14:00:17.819319+00;100;0;0;0;;bronze;c23ccdea-b646-4786-8453-1ce50d20af0e;2026-07-15 14:00:17.819319+00;false;
false;;100;2026-07-15 21:30:48.299173+00;100;0;0;0;;bronze;903c083f-c67b-4dd2-8112-1c9a3571b446;2026-07-15 21:30:48.299173+00;false;
false;;100;2026-07-15 22:45:30.877746+00;100;0;0;0;;bronze;26911643-9d1e-4382-839f-ad5a7b2f3a43;2026-07-15 22:45:30.877746+00;false;
false;;100;2026-07-16 07:53:39.451638+00;100;0;0;0;;bronze;3079ef7e-9482-41c5-96b1-b06eba72b4d6;2026-07-16 07:53:39.451638+00;false;
false;;70;2026-07-16 08:11:15.009495+00;100;597.300;24;30;;bronze;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3;2026-07-16 08:19:15.30533+00;false;
