ai_generated_data;category;compare_at_price;cost_price;created_at;description;exchange_window_days;id;images;inventory_count;is_active;is_exchangeable;is_returnable;menu_meta;price;reorder_level;return_window_days;seo_description;seo_title;short_description;sku;store_id;tags;tax_rate;title;updated_at;variants
"{""allergens"":""Milk"",""fssai_license"":""HAG82829"",""highlights"":[""Perfect blend of espresso and steamed milk"",""Topped with fragrant cinnamon powder"",""Rich, creamy texture"",""Ideal for a comforting break"",""Aromatic and indulgent"",""High-quality coffee beans""],""ingredients"":""Espresso Coffee, Milk, Cinnamon Powder, Sugar (optional)"",""nutritional_info"":""Approximate values per serving (200ml): Calories 120-180 kcal, Protein 5-8g, Carbohydrates 10-15g, Fat 6-10g"",""product_hint"":""Cuppachino"",""product_type"":""food"",""shelf_life"":""Best consumed within 30 minutes of preparation""}";Coffee;200.00;0.00;2026-05-19 17:25:52.699678+00;Indulge in the rich and comforting embrace of Aggu's Cafe Creamy Cinnamon Cappuccino. This delightful beverage features a perfect blend of robust espresso, steamed milk, and a generous layer of frothy foam, elegantly dusted with aromatic cinnamon powder. Made with high-quality coffee beans, each sip offers a harmonious balance of bold coffee flavor and a sweet, spicy finish. It's the ideal pick-me-up for any time of the day, offering a cozy warmth and a touch of indulgence to your routine. Enjoy a moment of pure bliss with this classic favorite.;7;37a256e7-e318-426c-9232-d85bfcef037a;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/e8483dcb-b9af-4770-a245-5b1818f0962b/800c55c8-6ecc-420d-9ac1-dd08d823a858.jpg""]";54;true;true;true;"{""allergens"":[""Dairy""],""available_modes"":[""dine_in""],""diet"":""veg"",""prep_minutes"":5,""spice_level"":0}";220.00;5;7;Experience the warmth of Aggu's Cafe Creamy Cinnamon Cappuccino. Perfectly frothed milk, rich espresso, and aromatic cinnamon for a delightful treat.;Creamy Cinnamon Cappuccino - Aggu's Cafe;Rich, frothy cappuccino with aromatic cinnamon dust.;Cupa-001;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;"[""Cappuccino"",""Cinnamon Coffee"",""Frothy Coffee"",""Hot Beverage"",""Indian Cafe"",""Espresso Drink"",""Aggu's Cafe"",""Coffee Drink""]";0.00;Creamy Cinnamon Cappuccino;2026-05-24 06:23:16.724386+00;"[{""name"":""Small"",""values"":[""200""]},{""name"":""Medium"",""values"":[""250""]},{""name"":""Large"",""values"":[""300""]}]"
"{""food"":{""allergens"":""None (May be prepared in facilities that handle nuts and milk products)"",""ingredients"":""100% Arabica and Robusta Coffee Beans (blend may vary by region)"",""nutritional_info"":""Typically one shot (30ml) contains 1-2 calories, 0g fat, 0g carbs, 0g protein, and 60-100mg caffeine."",""shelf_life"":""Best consumed immediately after preparation.""},""highlights"":[""Intense, bold flavor"",""Rich golden crema"",""Premium coffee beans"",""Invigorating aroma"",""Perfect for energy boost"",""Versatile for drinks""],""product_hint"":""Espresso Coffee"",""product_type"":""food""}";Coffee;150.00;0.00;2026-05-19 17:48:27.600624+00;Experience the intense and aromatic kick of Aggu's Cafe's signature Espresso Coffee. Crafted from premium, freshly roasted coffee beans, each shot delivers a bold flavor profile with delightful notes of dark chocolate and caramel. The perfect golden crema promises a smooth, invigorating start to your day or a delightful pick-me-up anytime. Enjoy it black for a pure coffee experience, or as the foundation for your favorite milk-based beverages like lattes and cappuccinos. Our espresso is designed to awaken your senses and provide that essential boost of energy and focus.;7;4b594aa5-9487-4771-8e03-928dcb082d36;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/e8483dcb-b9af-4770-a245-5b1818f0962b/bea10718-84e2-4f6b-893b-9897a11f5a60.jpg""]";49;true;true;true;"{""available_modes"":[""dine_in""],""diet"":""veg"",""prep_minutes"":5,""spice_level"":0}";135.00;5;7;Savor the rich, bold flavor of Aggu's Cafe Espresso Coffee. Made from premium beans, perfect for a strong taste or as a base for lattes. Order now!;Aggu's Cafe Espresso Coffee - Rich & Aromatic Shot;Bold, aromatic espresso with rich crema for a perfect coffee experience.;esp-12;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;"[""Espresso"",""Coffee"",""Coffee Shot"",""Indian Coffee"",""Fresh Brew"",""Strong Coffee"",""Caffeine"",""Aggu's Cafe""]";0.00;Rich Espresso Coffee Shot;2026-05-19 19:41:55.548219+00;[]
"{""allergens"":""Contains Wheat, Milk, Soy. May contain traces of Nuts."",""highlights"":[""Buttery, flaky layers"",""Generous chocolate drizzle"",""Perfect for breakfast or snack"",""Authentic French pastry taste"",""Baked to golden perfection"",""Delightful sweet and savory balance""],""ingredients"":""Refined Wheat Flour, Butter, Water, Sugar, Chocolate (Cocoa Solids, Sugar, Emulsifier), Yeast, Milk Solids, Salt, Edible Vegetable Oil."",""nutritional_info"":""Per serving (approx. 80g): Calories 320, Total Fat 20g, Saturated Fat 12g, Cholesterol 35mg, Sodium 180mg, Total Carbohydrates 30g, Sugars 10g, Protein 5g."",""product_hint"":""Chocolate Croissant"",""product_type"":""food"",""shelf_life"":""Best consumed within 24 hours of delivery. Store in a cool, dry place.""}";Croissant;200.00;0.00;2026-05-19 17:49:56.378787+00;Indulge in our exquisite Chocolate Drizzled Croissant, a beloved French pastry redefined for your palate. Each croissant boasts a flaky, buttery exterior and a tender, airy interior, characteristic of expertly laminated dough. Lovingly baked to golden perfection and then generously adorned with rich, dark chocolate drizzle, this treat offers a delightful balance of sweet and savory. Perfect for breakfast, a coffee break, or an afternoon pick-me-up, it promises a moment of pure bliss with every bite. Experience the authentic taste of a patisserie bakery, delivered right to your door.;7;9959c253-bc6f-45ad-9abd-a335e4d443a1;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/e8483dcb-b9af-4770-a245-5b1818f0962b/276dc670-c507-4777-ac2a-cf2194025ddd.jpg""]";9;true;true;true;"{""allergens"":[""Gluten""],""available_modes"":[""dine_in""],""diet"":""veg"",""prep_minutes"":1}";180.00;5;7;Enjoy Aguu's Cafe's decadent chocolate drizzled croissants. Flaky, buttery, and perfect for any time of day.;Chocolate Croissant - Aggu's Cafe;Flaky, buttery croissant generously drizzled with rich chocolate.;cro-123;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;"[""croissant"",""chocolate"",""pastry"",""bakery"",""breakfast"",""dessert"",""sweet"",""snack""]";0.00;Decadent Chocolate Drizzled Croissant;2026-05-21 17:52:43.379639+00;[]
"{""food"":{""allergens"":""Contains wheat, dairy. May contain soy, mustard, egg (if mayonnaise is egg-based)."",""ingredients"":""White bread, processed cheese, lettuce, mayonnaise, spread, (optional: ham/chicken/paneer/vegetable patty)"",""nutritional_info"":""Approx. 350-450 calories per serving, rich in carbohydrates and protein."",""shelf_life"":""Best consumed within 2 hours of preparation.""},""highlights"":[""Perfectly grilled golden-brown bread"",""Melty cheese and fresh lettuce"",""Savory and satisfying filling"",""Made fresh to order"",""Ideal for any time of day""],""product_hint"":""Grill Sandwich"",""product_type"":""food""}";Sandwitches;;0.00;2026-05-19 17:50:42.648539+00;Indulge in Aggu's Cafe's classic grilled cheese sandwich, a perfectly toasted delight designed to tantalize your taste buds. This comforting sandwich features slices of premium cheese, fresh crisp lettuce, and a savory filling (likely ham or chicken) nestled between golden-brown, grilled bread. Ideal for a quick bite, a satisfying lunch, or a delicious snack. Enjoy the perfect blend of creamy, crunchy, and savory in every bite. Made fresh to order with quality ingredients for a truly delightful experience.;7;9caf6bc4-4592-4fc2-9520-7c9bf81e33dc;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/e8483dcb-b9af-4770-a245-5b1818f0962b/6b70db91-295d-405f-8d54-715504f9f5d5.jpg""]";15;true;true;true;"{""allergens"":[""gluten""],""diet"":""veg"",""prep_minutes"":20,""spice_level"":1}";220.00;5;7;Savor Aggu's Cafe's classic grilled sandwich with melted cheese, fresh lettuce, and savory fillings. Perfect for a delicious meal or quick snack.;Classic Grilled Sandwich | Aggu's Cafe;Perfectly grilled sandwich with cheese, lettuce, and savory filling.;San-123;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;"[""Grilled Sandwich"",""Cheese Sandwich"",""Quick Bites"",""Cafe Food"",""Snack"",""Comfort Food"",""Lunch"",""Vegetarian Option""]";0.00;Classic Grilled Cheese Sandwich;2026-05-24 06:35:23.451794+00;[]
"{""allergens"":""None"",""highlights"":[""Picked fresh on vine"",""Rich, natural flavor"",""Versatile culinary use"",""Excellent source of vitamins"",""Naturally ripened"",""Premium quality produce""],""ingredients"":""100% Fresh Tomatoes"",""nutritional_info"":""Per 100g (approx.): Calories 18, Water 95%, Carbohydrates 3.9g, Protein 0.9g, Fat 0.2g, Fiber 1.2g. Rich in Vitamin C, K, B9 (Folate), and Potassium."",""product_hint"":""Fresh tomatoes"",""product_type"":""food"",""shelf_life"":""5-7 days under refrigeration""}";Fresh Vegetables;200.00;0.00;2026-05-21 07:17:06.946548+00;Experience the vibrant taste and freshness of LMS Bakers' Farm Fresh Tomatoes on Vine. Hand-picked at their peak ripeness, these juicy, crimson tomatoes are perfect for elevating any dish. Their rich, slightly sweet flavor makes them ideal for salads, sauces, cooking, or simply snacking. Packed with essential vitamins and antioxidants, they are a healthy addition to your kitchen. Enjoy the convenience of quality produce delivered straight to your door, ensuring every meal is a delightful experience with naturally delicious ingredients.;7;39cdc005-e67b-4f51-ac28-7e80fd58ec85;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/8cd6890d-68c5-4557-8d29-9eb558fd611c/05d3134d-5384-485f-b882-8096b0080bdc.jpg""]";1000;true;true;true;{};200.00;0;7;Order farm-fresh, juicy tomatoes on vine from LMS Bakers. Perfect for cooking, salads, and healthy meals. Get the best quality produce delivered.;Buy Fresh Tomatoes on Vine Online at LMS Bakers;Vibrant, juicy tomatoes on vine, perfect for cooking or fresh eating.;;25f81744-8f50-4795-a675-0df8386e07b4;"[""tomatoes"",""fresh vegetables"",""on vine"",""farm fresh"",""cooking ingredients"",""salad tomatoes"",""healthy food"",""Indian kitchen""]";0.00;Farm Fresh Tomatoes on Vine;2026-05-21 07:17:06.946548+00;[]
"{""highlights"":[""Displays multiple personalized photos"",""Gentle rotating motion"",""Creates a warm, ambient glow"",""Ideal for Gifting occasions"",""Compact and stylish design""],""product_type"":""physical""}";other;1299.00;350.00;2026-05-24 08:05:29.37176+00;Illuminate your cherished memories with our exquisite Rotating Personalized Photo Lamp. This unique gift allows you to showcase multiple custom photos on its rotating panels, creating a mesmerizing display. Crafted with premium materials, it features a warm, soft glow that adds a cozy ambiance to any room. Perfect for birthdays, anniversaries, or just to celebrate your loved ones. Surprise someone special with a truly unforgettable and personalized decorative piece that brings smiles and nostalgia. Its compact design fits perfectly on nightstands or shelves.;7;d0d37885-258f-40be-8fe5-c958f24d4591;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/d0920957-2320-4b71-add0-a002f62b4f80.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/da291f7a-b1df-475e-9643-554d61721c89.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/e634b703-8f70-47f5-832e-4974c3e88a10.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/f3a02ec3-b48f-43d6-bede-1c6e2191e9d7.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/eb61645c-cc08-454e-99b5-2a3dbd95292b.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/89040d83-f980-4929-9b17-35910462c036.jpg""]";2;true;true;true;{};1169.00;0;7;Cherish memories with a custom rotating photo lamp. Perfect personalized gift for birthdays, anniversaries, and special occasions. Shop now!;Personalized Rotating Photo Lamp - V2 gifts Gallery;Rotating photo lamp with personalized pictures, a perfect gift.;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;"[""Personalized Gift"",""Photo Lamp"",""Customized Decor"",""Rotating Light"",""Anniversary Gift"",""Birthday Gift"",""Home Decor"",""Unique Gift""]";0.00;Rotating Personalized Photo Lamp;2026-05-24 08:27:54.179466+00;"[{""name"":"""",""values"":[]}]"
"{""highlights"":[""Dazzling crystal light effect"",""Elegant oval design"",""Luxurious gold-finished base"",""Creates warm, inviting ambiance"",""Perfect for modern decor"",""Compact and versatile placement""],""product_type"":""physical""}";Home Decor & Lighting;2499.00;250.00;2026-05-24 08:07:59.499717+00;Illuminate your space with this stunning crystal table lamp, featuring a unique oval design and intricate textured acrylic for a dazzling light effect. The gold-finished base adds a touch of luxury, making it a perfect decorative piece for any modern home. Ideal for bedrooms, living rooms, or study areas, it provides a warm, inviting glow. Its compact size ensures it fits seamlessly into various settings, enhancing ambiance and adding a sophisticated focal point to your decor. Experience elevated style and soft illumination with this exquisite lamp.;7;42e10819-de38-4462-82e9-5dd8a43a6da6;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/23bfe827-6550-4681-ae10-c891af69dac5.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/ec08f09d-425b-442e-a335-f9f1c74d9039.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/30d848ac-1e80-485d-9007-668a2d430b81.jpg""]";4;true;true;true;{};875.00;0;7;Shop the stunning oval crystal table lamp with a gold base at V2 Gifts Gallery. Perfect for adding a touch of luxury and warm ambiance to any room. Home decor lighting.;Elegant Crystal Table Lamp for Modern Homes;Stylish oval crystal lamp with a luxurious gold base.;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;"[""Table Lamp"",""Crystal Lamp"",""Decorative Light"",""Home Decor"",""Bedroom Lamp"",""Living Room Light"",""Modern Lamp"",""Accent Lighting""]";0.00;Elegant Crystal Table Lamp;2026-05-24 08:27:37.130426+00;[]
"{""highlights"":[""Vintage ornate design"",""Clear, large numerals"",""Elegant brown and white finish"",""Enhances home decor"",""Durable construction""],""product_type"":""physical""}";other;2200.00;870.00;2026-05-24 08:12:18.108508+00;Adorn your living space with this exquisite vintage-style wall clock, featuring a rich brown and white color scheme with a beautifully embossed frame. The ornate detailing adds a touch of classic sophistication to any room, making it a perfect decorative piece for your home or office. Its clear, large numerals ensure easy readability from a distance, combining functionality with timeless aesthetic appeal. This clock is ideal for enhancing your interior décor while keeping track of time with a touch of elegance.;7;6129a44e-1d2f-4f70-a246-ae8e78f8ff07;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/5421b93b-385a-41c6-a8d6-8998c7aeab2a.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/02ecd1f5-6393-4969-a4f0-a383879f842b.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/488f4819-9f2f-4f46-ab01-a9cbaf0d1447.jpg""]";2;true;true;true;{};1980.00;0;7;Buy an elegant vintage round wall clock with a beautiful embossed frame. Perfect for home decor and gifting. Elevate your space with classic style.;Vintage Brown & White Ornate Wall Clock for Home;Stylish vintage wall clock with ornate brown frame.;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;"[""Wall Clock"",""Vintage Clock"",""Home Decor"",""Decorative Clock"",""Antique Style"",""Office Clock"",""Gift Item""]";0.00;Elegant Vintage Round Wall Clock;2026-05-24 08:27:10.975493+00;[]
"{""highlights"":[""Astronaut design enhances room aesthetic."",""Projects vibrant nebulae and starry skies."",""Full control with included remote."",""Adjustable nebula colors and star brightness."",""Creates a relaxing and magical ambiance."",""Ideal gift for space lovers.""],""product_type"":""physical""}";Home Decor;1999.00;870.00;2026-05-24 08:17:28.742748+00;Transform any room into a breathtaking galaxy with this unique Astronaut Nebula Star Projector. Featuring a stunning astronaut design, this projector casts vibrant nebulae and twinkling stars across your walls and ceiling, creating a mesmerizing cosmic atmosphere. It comes with a convenient remote control allowing you to effortlessly adjust nebula colors, brightness, speed, and star patterns. Perfect for unwinding, setting a romantic mood, or adding a touch of wonder to a child's bedroom. Easy to use and a fantastic gift for space enthusiasts of all ages.;7;501c2de5-d649-45a4-bc8e-8be4d93fdb99;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/5c961d67-92c8-4d42-9ae6-0dd7300fb3d6.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/00cdb8ca-9fa6-427b-9eb7-c348cc02a099.jpg""]";1;true;true;true;{};1499.00;0;7;Experience a cosmic journey with our Astronaut Nebula Star Projector. Features adjustable colors, brightness, and remote control. Perfect for home decor and gifts.;Astronaut Nebula Star Projector - V2 Gifts Gallery;Astronaut-shaped projector for stunning nebula and star displays.;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;"[""Star Projector"",""Nebula Light"",""Astronaut Lamp"",""Galaxy Projector"",""Night Light"",""Room Decor"",""Gift for Kids"",""Remote Control""]";0.00;Astronaut Nebula Star Projector;2026-05-24 08:26:52.581296+00;[]
"{""highlights"":[""Heartfelt engraved wooden messages"",""Cute teddy bear with 'I Love You' sign"",""Fragrant soap rose flowers"",""Romantic greeting card included"",""Beautifully packaged heart-shaped tin""],""product_type"":""physical""}";Gifts & Hampers;999.00;400.00;2026-05-24 08:20:58.868188+00;"Surprise your beloved with this enchanting Romantic Gift Box Set, perfect for expressing your heartfelt emotions. It includes a delightful wooden box with four engraved heart-shaped messages, a cuddly teddy bear and soap rose flowers housed in a charming heart-shaped tin, and a romantic greeting card that reads, ""You know how you make me feel?"". This curated collection is ideal for anniversaries, Valentine's Day, birthdays, or just to show someone special how much you care. Each element is designed to create a memorable and cherished moment, bringing a smile to their face and warmth to their heart.";7;4ee50780-d4a6-4895-9791-b35189c343fc;"[""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/00c18187-81c3-4b18-b352-8285d41a3e1f.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/4cb735bb-2963-48f3-a8e5-619ce4b65c69.jpg"",""https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/product-images/44ca7184-1674-4d7c-b6d3-a95337ae777b/ef0d21ef-e618-435d-9dd8-2f902104c489.jpg""]";5;true;true;true;{};799.00;0;7;Express your love with this romantic gift box set, featuring engraved hearts, teddy bear, soap roses, and a heartfelt greeting card. Perfect for any special occasion.;Romantic Gift Box Set for Couples - V2 Gifts Gallery;A charming gift set with messages, teddy, soap roses, and a card.;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;"[""Romantic Gift"",""Valentine's Day"",""Anniversary Gift"",""Love Messages"",""Teddy Bear Gift"",""Soap Roses"",""Couple Gift"",""Gift for Her""]";0.00;Romantic Gift Box Set;2026-05-24 08:26:26.082903+00;[]
