attachment_url;bill_date;bill_number;created_at;id;items;notes;paid_amount;payment_mode;payment_status;store_id;subtotal;supplier_id;tax;total;updated_at
;2026-05-19;;2026-05-19 19:44:36.379325+00;ed4dbe92-e535-409b-b79e-552bd0d9c169;"[{""gst"":5,""name"":""Creamy Cinnamon Cappuccino"",""product_id"":""37a256e7-e318-426c-9232-d85bfcef037a"",""quantity"":5,""rate"":70},{""gst"":5,""name"":""Classic Grilled Cheese Sandwich"",""product_id"":""9caf6bc4-4592-4fc2-9520-7c9bf81e33dc"",""quantity"":5,""rate"":50}]";;630.00;upi;paid;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;600.00;3c2fa32a-b6a8-4e6c-ad73-d16342d19d7f;30.00;630.00;2026-05-19 20:46:05.372087+00
;2026-07-01;47;2026-07-02 03:53:49.007324+00;f999ccaf-2891-44ea-b8b5-19a8e5e70a44;"[{""gst"":0,""name"":""Maheshwari Ajrakh Print Saree"",""product_id"":""67fed6de-9e2e-491e-9378-5de70e00615e"",""quantity"":10,""rate"":1780}]";;17000.00;cash;partial;6cdeb4fd-d936-4241-bf7d-f3843048a703;17800.00;6ac3ed0a-f6c4-4c0a-b503-a9b009d166db;0.00;17800.00;2026-07-02 03:53:49.007324+00
;2026-07-01;48;2026-07-02 03:54:51.051801+00;5169e664-26ee-45c6-81f5-ebe1e5f7f53f;"[{""gst"":0,""name"":""Maheshwari Ajrakh Print Saree"",""product_id"":""67fed6de-9e2e-491e-9378-5de70e00615e"",""quantity"":10,""rate"":1780}]";;17800.00;cash;paid;6cdeb4fd-d936-4241-bf7d-f3843048a703;17800.00;6ac3ed0a-f6c4-4c0a-b503-a9b009d166db;0.00;17800.00;2026-07-02 03:54:51.051801+00
;2026-07-01;49;2026-07-02 03:57:59.974945+00;4278292e-ba07-4a6e-bca7-f03688fb97ef;"[{""gst"":0,""name"":""Maheshwari Ajrakh Print Saree"",""product_id"":""67fed6de-9e2e-491e-9378-5de70e00615e"",""quantity"":10,""rate"":1780}]";;20000.00;cash;paid;6cdeb4fd-d936-4241-bf7d-f3843048a703;17800.00;6ac3ed0a-f6c4-4c0a-b503-a9b009d166db;0.00;17800.00;2026-07-02 03:57:59.974945+00
;2026-07-01;47;2026-07-02 03:59:09.878422+00;20e42b43-218d-4279-a440-a29dcfc35404;"[{""gst"":0,""name"":""Maheshwari Ajrakh Print Saree"",""product_id"":""67fed6de-9e2e-491e-9378-5de70e00615e"",""quantity"":10,""rate"":1780}]";;800.00;cash;partial;6cdeb4fd-d936-4241-bf7d-f3843048a703;17800.00;6ac3ed0a-f6c4-4c0a-b503-a9b009d166db;0.00;17800.00;2026-07-02 03:59:09.878422+00
;2026-07-01;384646;2026-07-10 06:07:08.010749+00;dcf77f07-3d1b-4acb-a5e4-77c060893588;"[{""gst"":0,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;0.00;cash;unpaid;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;83ff40aa-af85-4e07-ad54-b55eb208f590;0.00;145.00;2026-07-10 06:07:08.010749+00
;2026-07-01;;2026-07-10 06:09:44.756993+00;46a3640d-aa64-4346-af9a-919264387420;"[{""gst"":14,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;165.30;cash;paid;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;;20.30;165.30;2026-07-10 07:48:35.020258+00
;2026-07-01;1;2026-07-10 06:10:26.68659+00;e8280d49-cf94-428f-bb15-d40dbb60a478;"[{""gst"":0,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;100.00;cash;partial;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;83ff40aa-af85-4e07-ad54-b55eb208f590;0.00;145.00;2026-07-10 06:10:26.68659+00
;2026-07-01;1;2026-07-10 07:53:44.312403+00;96f9459c-19a6-4ddf-9206-6d97390f3559;"[{""gst"":0,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;45.00;cash;paid;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;83ff40aa-af85-4e07-ad54-b55eb208f590;0.00;145.00;2026-07-10 07:53:44.312403+00
;2026-07-01;384646;2026-07-10 07:54:13.196971+00;54a514c7-7688-47ff-99e9-945b3fd14523;"[{""gst"":0,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;140.00;cash;partial;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;83ff40aa-af85-4e07-ad54-b55eb208f590;0.00;145.00;2026-07-10 07:54:13.196971+00
;2026-07-01;384646;2026-07-10 07:54:25.533401+00;7baa0489-070e-46b3-8612-3dd48782441f;"[{""gst"":0,""name"":""Gramlite Jumbo 26W LED Bulb - Cool White Glow"",""product_id"":""c10aef11-5e98-4c6b-ac97-ab480a7e22c3"",""quantity"":1,""rate"":145}]";;5.00;cash;paid;309b2d56-2ed2-4705-b762-b80c8774bda6;145.00;83ff40aa-af85-4e07-ad54-b55eb208f590;0.00;145.00;2026-07-10 07:54:25.533401+00
