actor;changed_by;created_at;from_status;id;note;order_id;to_status
Customer;;2026-05-18 09:07:43.981754+00;;2ac5c778-8197-4132-85c0-e3136bac09b6;Order placed;aa7d717a-7d26-4a54-a2e2-edb2209f2813;confirmed
Customer;;2026-05-19 18:17:06.529186+00;;d0c910da-591d-4d2a-a3b2-f56e2e891514;Order placed;9b8f19ca-b670-4986-ad67-8bdeed36f028;delivered
Customer;;2026-05-19 19:02:31.521763+00;;8b88de67-dca6-41b6-8456-6e6f0ca8f2e7;Order placed;b85f7c33-16aa-4dfe-beb9-cd3b9ccdc8c2;delivered
Customer;;2026-05-19 19:46:47.38831+00;;cf05c7ef-85d5-4664-b002-6cd5050bf5db;Order placed;49321296-5673-4776-9268-b4f898e01a6b;delivered
Customer;;2026-05-24 06:35:23.451794+00;;1e252276-d59a-4f85-b72d-1bedb54dbfa9;Order placed;096263f1-3a1d-4cb6-8af4-a03ffb3570bc;delivered
Customer;;2026-05-24 15:38:17.550474+00;;e8841bec-efbd-43b7-95b0-b7c9b441263a;Order placed;4786322d-17fd-4460-9e6e-8bd4c29eea4b;pending
Customer;;2026-05-25 08:36:56.921071+00;;05d8c9d0-e661-4566-954d-d9022909393c;Order placed;35db28b8-7326-4686-8b20-bd77dfd206bc;pending
Customer;;2026-05-27 15:16:30.843501+00;;8c8095f6-ad95-4e2b-9d67-f3e99fa73d5f;Order placed;468478d7-bd97-4de9-8f69-0663c90a1649;pending
Customer;;2026-06-02 10:04:31.578227+00;;83bb6188-9a0e-4167-a1ae-1092b4522e81;Order placed;6d23a7f9-b739-4ab9-a7e0-5ee3a8c6c6d7;delivered
Customer;;2026-06-02 16:25:06.809671+00;;ac377c76-b9ae-47ea-b3c8-b7ea972e5136;Order placed;f59f5755-44c6-4959-a8d9-22a3d5063d50;pending
Customer;;2026-06-12 09:06:02.728653+00;;61ca490c-660a-43ac-9035-828b992861e1;Order placed;bc280000-7919-4268-bb07-a659416528ad;processing
Customer;;2026-06-22 09:04:27.001655+00;;165df600-e55e-47d6-910d-1b5ec540914e;Order placed;bcaf7368-c8b2-4d75-9add-08ac3d686dac;processing
Customer;;2026-06-22 09:05:41.6771+00;;b66f1ea2-cb20-4a79-ae35-b639d9681783;Order placed;0f508292-e771-408e-8a3a-ab1120b8741d;delivered
Customer;;2026-06-29 06:57:49.443498+00;;25361429-4368-41b2-a0e9-e6fed918608e;Order placed;22663c65-b6de-4b21-8820-c9d770270d3c;delivered
Customer;;2026-06-29 07:40:42.767117+00;;e4698f61-76ae-4168-ad41-907c5b7e00fd;Order placed;cccf96f3-a129-46f7-922a-6cd8825372c8;pending
Customer;;2026-07-03 09:33:20.466347+00;;94d7d7eb-800e-4cbf-b8b5-cdcf984186e0;Order placed;c255f133-80b9-4a8d-99d4-201c44cdad69;pending
Customer;;2026-07-03 09:35:17.282792+00;;076dc1d3-5c93-452d-b085-bae881d0fb73;Order placed;8de50447-a2ee-4ff5-8c64-256dbaf7dd11;pending
Customer;;2026-07-07 07:37:28.219182+00;;23f64393-877c-4fa9-b1e1-78ef4332bdc7;Order placed;def57765-e121-4963-b0a7-0574057ac4a6;delivered
Customer;;2026-07-09 21:30:13.786213+00;;d8d4016c-887f-4d1d-9ff2-9ee5b6b9e4db;Order placed;4abce5b1-e60d-4028-9687-e84c51077ca9;shipped
Customer;;2026-07-15 05:03:52.958835+00;;11f2c338-1410-4508-b4c0-c096be9ed485;Order placed;c58762a1-4916-4ae3-bccf-66432be297b6;delivered
Customer;;2026-07-15 05:52:39.916582+00;;7f3fc6e7-91d7-42d1-bdce-cb6b49d8563d;Order placed;4cf8f0aa-aa96-4caa-b893-17df9bbcabeb;returned
Customer;;2026-07-15 06:34:39.122039+00;;214894a0-3013-4678-a6af-12c164336762;Order placed;ba3d3834-2ba8-4ea8-8f24-3036849ec02f;returned
Customer;;2026-07-15 07:11:00.574925+00;;2a215b01-61bc-40d5-b633-48e0f95e4b4b;Order placed;5abd2c18-680d-4d02-82b5-9c30b3c04784;pending
Customer;;2026-07-15 07:40:59.424553+00;;a699cae4-358d-4a6c-aebb-a16ed55b1e9b;Order placed;20e2a231-f4b3-4265-8b51-4a66ac9de10a;pending
Customer;;2026-07-15 07:41:18.957609+00;;b69a3c96-a499-4761-be7f-3d56eff4cc5d;Order placed;8875af95-ca01-4b5f-b841-bfd5a7064d32;delivered
