action_key;created_at;expires_at;hits;key;response
generate-product;2026-05-07 11:39:14.24605+00;2026-05-08 11:39:14.116+00;0;abda839832eea0c3f3c3e18bf51cbfc349b59712b0f0a93fd5455f506374d020;"{""category"":""Food & Beverage"",""description"":""Indulge in the bold and invigorating flavor of our Rich Espresso Coffee. Perfectly brewed to deliver a strong, aromatic, and intense coffee experience. Each cup is a journey of deep, dark notes and a satisfying finish, ideal for kickstarting your day or a midday pick-me-up. Made with premium beans, it promises a consistent, high-quality taste in every sip. Experience the true essence of coffee with AI Cafe's exquisite espresso."",""seoDescription"":""Savor AI Cafe's Rich Espresso Coffee. Experience bold, aromatic, and intense flavor. Perfect for your daily pick-me-up. Order online today!"",""seoTitle"":""Rich Espresso Coffee - Intense Flavor from AI Cafe"",""shortDescription"":""Bold, aromatic espresso for an intense coffee experience."",""suggestedPrice"":120,""tags"":[""Espresso"",""Coffee"",""Strong Coffee"",""Hot Beverage"",""Premium Coffee"",""AI Cafe""],""title"":""Rich Espresso Coffee""}"
generate-product;2026-05-08 10:28:10.100657+00;2026-05-09 10:28:09.976+00;0;1acf37c4824798e96cdc632a4424bbb7aff336811a768f8b0c5abf83e00b7126;"{""category"":""Women's Sarees"",""description"":""Drape yourself in elegance with this stunning teal saree, featuring intricate block print motifs across the body and pallu. The soft, breathable fabric ensures comfort all day long, while the delicate pink and golden borders add a touch of traditional charm. Perfect for festive occasions, daily wear, or casual gatherings, this saree combines classic Indian craftsmanship with contemporary design. Elevate your wardrobe with its versatile appeal and make a sophisticated statement wherever you go. Easy to care for and durable, it promises lasting beauty and style."",""highlights"":[""Elegant block print design"",""Soft, breathable fabric"",""Charming pink & gold borders"",""Versatile for occasions"",""Comfortable daily wear"",""Traditional craftsmanship""],""metadata"":{""care_instructions"":""Dry clean recommended for first wash, then gentle hand wash separately in cold water with mild detergent. Do not bleach. Iron on low heat."",""fit_type"":""Regular Fit"",""gender"":""Women"",""material"":""Blended Cotton Silk""},""product_type"":""fashion"",""seoDescription"":""Discover the elegance of our teal block print saree with delicate pink and gold borders. Perfect for festive and casual occasions. Shop Indilipi today!"",""seoTitle"":""Teal Block Print Saree - Traditional Indian Wear | Indilipi"",""shortDescription"":""Elegant teal block print saree with pink and gold borders."",""suggestedPrice"":3499,""tags"":[""Saree"",""Block Print"",""Teal Saree"",""Traditional Wear"",""Indian Fashion"",""Casual Saree"",""Festive Saree"",""Ethnic Wear""],""title"":""Chic Teal Block Print Saree""}"
generate-product;2026-05-08 10:29:12.057823+00;2026-05-09 10:29:11.924+00;1;1d1a86ad9417ad32a9672c881a6f72d7e58d4db1bb6a9de00c82ead5e1ffff60;"{""category"":""Women's Sarees"",""description"":""Drape yourself in the elegance of this exquisite Maheshwari Silk Saree, featuring an captivating hand-done Ajrakh print. The beautiful teal green body with delicate geometric motifs is perfectly complemented by a contrasting pink and black border, adorned with intricate traditional patterns. Made from luxurious Maheshwari silk, this saree offers a graceful drape and a comfortable feel, perfect for special occasions or festive gatherings. Its unique blend of traditional artistry and contemporary design ensures you stand out with timeless Indian charm. Experience the rich heritage and craftsmanship."",""highlights"":[""Authentic Maheshwari Silk Fabric"",""Exquisite Hand-done Ajrakh Print"",""Elegant Teal Green with Contrast Border"",""Comfortable & Graceful Drape"",""Perfect for Festive & Ethnic Wear""],""metadata"":{""care_instructions"":""Dry clean only. Do not bleach. Iron on low heat."",""fit_type"":""Regular Fit"",""gender"":""Women"",""material"":""Maheshwari Silk""},""product_type"":""fashion"",""seoDescription"":""Discover the beauty of this Maheshwari Silk Saree with authentic hand-done Ajrakh print. Perfect for festive occasions and elegant gatherings. Shop now at Indilipi."",""seoTitle"":""Maheshwari Silk Saree | Hand-done Ajrakh Print | Indilipi"",""shortDescription"":""Elegant Maheshwari silk saree with hand-done Ajrakh print."",""suggestedPrice"":5899,""tags"":[""Maheshwari Silk Saree"",""Ajrakh Print"",""Handloom Saree"",""Indian Ethnic Wear"",""Traditional Saree"",""Festive Saree"",""Women's Saree"",""Silk Saree""],""title"":""Maheshwari Ajrakh Print Saree""}"
generate-product;2026-05-19 17:47:49.837487+00;2026-05-20 17:47:49.672+00;0;7c52f622cd82e3622f3ada96413eaa0feb8f030e427aa740cad6a096ec989462;"{""category"":""Coffee & Tea"",""description"":""Experience the intense and aromatic kick of Aggu's Cafe's signature Espresso Coffee. Crafted from premium, freshly roasted coffee beans, each shot delivers a bold flavor profile with delightful notes of dark chocolate and caramel. The perfect golden crema promises a smooth, invigorating start to your day or a delightful pick-me-up anytime. Enjoy it black for a pure coffee experience, or as the foundation for your favorite milk-based beverages like lattes and cappuccinos. Our espresso is designed to awaken your senses and provide that essential boost of energy and focus."",""highlights"":[""Intense, bold flavor"",""Rich golden crema"",""Premium coffee beans"",""Invigorating aroma"",""Perfect for energy boost"",""Versatile for drinks""],""metadata"":{""food"":{""allergens"":""None (May be prepared in facilities that handle nuts and milk products)"",""ingredients"":""100% Arabica and Robusta Coffee Beans (blend may vary by region)"",""nutritional_info"":""Typically one shot (30ml) contains 1-2 calories, 0g fat, 0g carbs, 0g protein, and 60-100mg caffeine."",""shelf_life"":""Best consumed immediately after preparation.""}},""product_type"":""food"",""seoDescription"":""Savor the rich, bold flavor of Aggu's Cafe Espresso Coffee. Made from premium beans, perfect for a strong taste or as a base for lattes. Order now!"",""seoTitle"":""Aggu's Cafe Espresso Coffee - Rich & Aromatic Shot"",""shortDescription"":""Bold, aromatic espresso with rich crema for a perfect coffee experience."",""suggestedPrice"":120,""tags"":[""Espresso"",""Coffee"",""Coffee Shot"",""Indian Coffee"",""Fresh Brew"",""Strong Coffee"",""Caffeine"",""Aggu's Cafe""],""title"":""Rich Espresso Coffee Shot""}"
generate-product;2026-05-19 17:49:37.928136+00;2026-05-20 17:49:37.639+00;0;75f3f9fb129872574f04c4708e8e65be7499b2f30104b5c8dcf37c897a88de42;"{""category"":""food"",""description"":""Indulge in our exquisite Chocolate Drizzled Croissant, a beloved French pastry redefined for your palate. Each croissant boasts a flaky, buttery exterior and a tender, airy interior, characteristic of expertly laminated dough. Lovingly baked to golden perfection and then generously adorned with rich, dark chocolate drizzle, this treat offers a delightful balance of sweet and savory. Perfect for breakfast, a coffee break, or an afternoon pick-me-up, it promises a moment of pure bliss with every bite. Experience the authentic taste of a patisserie bakery, delivered right to your door."",""highlights"":[""Buttery, flaky layers"",""Generous chocolate drizzle"",""Perfect for breakfast or snack"",""Authentic French pastry taste"",""Baked to golden perfection"",""Delightful sweet and savory balance""],""metadata"":{""allergens"":""Contains Wheat, Milk, Soy. May contain traces of Nuts."",""ingredients"":""Refined Wheat Flour, Butter, Water, Sugar, Chocolate (Cocoa Solids, Sugar, Emulsifier), Yeast, Milk Solids, Salt, Edible Vegetable Oil."",""nutritional_info"":""Per serving (approx. 80g): Calories 320, Total Fat 20g, Saturated Fat 12g, Cholesterol 35mg, Sodium 180mg, Total Carbohydrates 30g, Sugars 10g, Protein 5g."",""shelf_life"":""Best consumed within 24 hours of delivery. Store in a cool, dry place.""},""product_type"":""food"",""seoDescription"":""Enjoy Aguu's Cafe's decadent chocolate drizzled croissants. Flaky, buttery, and perfect for any time of day."",""seoTitle"":""Chocolate Croissant - Aggu's Cafe"",""shortDescription"":""Flaky, buttery croissant generously drizzled with rich chocolate."",""suggestedPrice"":180,""tags"":[""croissant"",""chocolate"",""pastry"",""bakery"",""breakfast"",""dessert"",""sweet"",""snack""],""title"":""Decadent Chocolate Drizzled Croissant""}"
generate-product;2026-05-19 17:50:30.004122+00;2026-05-20 17:50:29.754+00;0;3f816ef52ed76e5c058ba73f11c4cfbc2f912739b2e8386fa6503e23ad9cd69f;"{""category"":""food"",""description"":""Indulge in Aggu's Cafe's classic grilled cheese sandwich, a perfectly toasted delight designed to tantalize your taste buds. This comforting sandwich features slices of premium cheese, fresh crisp lettuce, and a savory filling (likely ham or chicken) nestled between golden-brown, grilled bread. Ideal for a quick bite, a satisfying lunch, or a delicious snack. Enjoy the perfect blend of creamy, crunchy, and savory in every bite. Made fresh to order with quality ingredients for a truly delightful experience."",""highlights"":[""Perfectly grilled golden-brown bread"",""Melty cheese and fresh lettuce"",""Savory and satisfying filling"",""Made fresh to order"",""Ideal for any time of day""],""metadata"":{""food"":{""allergens"":""Contains wheat, dairy. May contain soy, mustard, egg (if mayonnaise is egg-based)."",""ingredients"":""White bread, processed cheese, lettuce, mayonnaise, spread, (optional: ham/chicken/paneer/vegetable patty)"",""nutritional_info"":""Approx. 350-450 calories per serving, rich in carbohydrates and protein."",""shelf_life"":""Best consumed within 2 hours of preparation.""}},""product_type"":""food"",""seoDescription"":""Savor Aggu's Cafe's classic grilled sandwich with melted cheese, fresh lettuce, and savory fillings. Perfect for a delicious meal or quick snack."",""seoTitle"":""Classic Grilled Sandwich | Aggu's Cafe"",""shortDescription"":""Perfectly grilled sandwich with cheese, lettuce, and savory filling."",""suggestedPrice"":220,""tags"":[""Grilled Sandwich"",""Cheese Sandwich"",""Quick Bites"",""Cafe Food"",""Snack"",""Comfort Food"",""Lunch"",""Vegetarian Option""],""title"":""Classic Grilled Cheese Sandwich""}"
generate-product;2026-05-19 17:51:09.982335+00;2026-05-20 17:51:09.744+00;0;fe67d798e1668c23d9a2fdc94b6d2e63467e04e8dc5d3c76f9e455e511fc9e1f;"{""category"":""Coffee"",""description"":""Indulge in the rich and comforting embrace of Aggu's Cafe Creamy Cinnamon Cappuccino. This delightful beverage features a perfect blend of robust espresso, steamed milk, and a generous layer of frothy foam, elegantly dusted with aromatic cinnamon powder. Made with high-quality coffee beans, each sip offers a harmonious balance of bold coffee flavor and a sweet, spicy finish. It's the ideal pick-me-up for any time of the day, offering a cozy warmth and a touch of indulgence to your routine. Enjoy a moment of pure bliss with this classic favorite."",""highlights"":[""Perfect blend of espresso and steamed milk"",""Topped with fragrant cinnamon powder"",""Rich, creamy texture"",""Ideal for a comforting break"",""Aromatic and indulgent"",""High-quality coffee beans""],""metadata"":{""allergens"":""Milk"",""ingredients"":""Espresso Coffee, Milk, Cinnamon Powder, Sugar (optional)"",""nutritional_info"":""Approximate values per serving (200ml): Calories 120-180 kcal, Protein 5-8g, Carbohydrates 10-15g, Fat 6-10g"",""shelf_life"":""Best consumed within 30 minutes of preparation""},""product_type"":""food"",""seoDescription"":""Experience the warmth of Aggu's Cafe Creamy Cinnamon Cappuccino. Perfectly frothed milk, rich espresso, and aromatic cinnamon for a delightful treat."",""seoTitle"":""Creamy Cinnamon Cappuccino - Aggu's Cafe"",""shortDescription"":""Rich, frothy cappuccino with aromatic cinnamon dust."",""suggestedPrice"":220,""tags"":[""Cappuccino"",""Cinnamon Coffee"",""Frothy Coffee"",""Hot Beverage"",""Indian Cafe"",""Espresso Drink"",""Aggu's Cafe"",""Coffee Drink""],""title"":""Creamy Cinnamon Cappuccino""}"
generate-product;2026-05-21 07:16:18.40217+00;2026-05-22 07:16:18.253+00;0;b79547290d9ca392801fd2efdc7079f780f87596e7a44df615e972932296d903;"{""category"":""Fresh Vegetables"",""description"":""Experience the vibrant taste and freshness of LMS Bakers' Farm Fresh Tomatoes on Vine. Hand-picked at their peak ripeness, these juicy, crimson tomatoes are perfect for elevating any dish. Their rich, slightly sweet flavor makes them ideal for salads, sauces, cooking, or simply snacking. Packed with essential vitamins and antioxidants, they are a healthy addition to your kitchen. Enjoy the convenience of quality produce delivered straight to your door, ensuring every meal is a delightful experience with naturally delicious ingredients."",""highlights"":[""Picked fresh on vine"",""Rich, natural flavor"",""Versatile culinary use"",""Excellent source of vitamins"",""Naturally ripened"",""Premium quality produce""],""metadata"":{""allergens"":""None"",""ingredients"":""100% Fresh Tomatoes"",""nutritional_info"":""Per 100g (approx.): Calories 18, Water 95%, Carbohydrates 3.9g, Protein 0.9g, Fat 0.2g, Fiber 1.2g. Rich in Vitamin C, K, B9 (Folate), and Potassium."",""shelf_life"":""5-7 days under refrigeration""},""product_type"":""food"",""seoDescription"":""Order farm-fresh, juicy tomatoes on vine from LMS Bakers. Perfect for cooking, salads, and healthy meals. Get the best quality produce delivered."",""seoTitle"":""Buy Fresh Tomatoes on Vine Online at LMS Bakers"",""shortDescription"":""Vibrant, juicy tomatoes on vine, perfect for cooking or fresh eating."",""suggestedPrice"":95,""tags"":[""tomatoes"",""fresh vegetables"",""on vine"",""farm fresh"",""cooking ingredients"",""salad tomatoes"",""healthy food"",""Indian kitchen""],""title"":""Farm Fresh Tomatoes on Vine""}"
generate-product;2026-05-24 08:03:07.573815+00;2026-05-25 08:03:07.329+00;0;39dc365710febd1e3e9f829edab2612f8898d6e3d3450f22d029b61803984c54;"{""category"":""other"",""description"":""Illuminate your cherished memories with our exquisite Rotating Personalized Photo Lamp. This unique gift allows you to showcase multiple custom photos on its rotating panels, creating a mesmerizing display. Crafted with premium materials, it features a warm, soft glow that adds a cozy ambiance to any room. Perfect for birthdays, anniversaries, or just to celebrate your loved ones. Surprise someone special with a truly unforgettable and personalized decorative piece that brings smiles and nostalgia. Its compact design fits perfectly on nightstands or shelves."",""highlights"":[""Displays multiple personalized photos"",""Gentle rotating motion"",""Creates a warm, ambient glow"",""Ideal for Gifting occasions"",""Compact and stylish design""],""metadata"":{},""product_type"":""physical"",""seoDescription"":""Cherish memories with a custom rotating photo lamp. Perfect personalized gift for birthdays, anniversaries, and special occasions. Shop now!"",""seoTitle"":""Personalized Rotating Photo Lamp - V2 gifts Gallery"",""shortDescription"":""Rotating photo lamp with personalized pictures, a perfect gift."",""suggestedPrice"":1299,""tags"":[""Personalized Gift"",""Photo Lamp"",""Customized Decor"",""Rotating Light"",""Anniversary Gift"",""Birthday Gift"",""Home Decor"",""Unique Gift""],""title"":""Rotating Personalized Photo Lamp""}"
generate-product;2026-05-24 08:07:05.54042+00;2026-05-25 08:07:05.259+00;0;a8c207cb847a23f846adda2d75979af0c49c1be2ffb1af316e440b5d5c2a6204;"{""category"":""Home Decor & Lighting"",""description"":""Illuminate your space with this stunning crystal table lamp, featuring a unique oval design and intricate textured acrylic for a dazzling light effect. The gold-finished base adds a touch of luxury, making it a perfect decorative piece for any modern home. Ideal for bedrooms, living rooms, or study areas, it provides a warm, inviting glow. Its compact size ensures it fits seamlessly into various settings, enhancing ambiance and adding a sophisticated focal point to your decor. Experience elevated style and soft illumination with this exquisite lamp."",""highlights"":[""Dazzling crystal light effect"",""Elegant oval design"",""Luxurious gold-finished base"",""Creates warm, inviting ambiance"",""Perfect for modern decor"",""Compact and versatile placement""],""metadata"":{},""product_type"":""physical"",""seoDescription"":""Shop the stunning oval crystal table lamp with a gold base at V2 Gifts Gallery. Perfect for adding a touch of luxury and warm ambiance to any room. Home decor lighting."",""seoTitle"":""Elegant Crystal Table Lamp for Modern Homes"",""shortDescription"":""Stylish oval crystal lamp with a luxurious gold base."",""suggestedPrice"":2499,""tags"":[""Table Lamp"",""Crystal Lamp"",""Decorative Light"",""Home Decor"",""Bedroom Lamp"",""Living Room Light"",""Modern Lamp"",""Accent Lighting""],""title"":""Elegant Crystal Table Lamp""}"
