address;bank_account_name;bank_account_number;bank_ifsc;banner_url;categories;city;commission_pct;company_name;contact_name;country;created_at;default_lead_time_days;description;email;gst_verified;gstin;id;logo_url;metadata;min_order_value;phone;pincode;rating;reviews_count;ships_pan_india;source;source_url;state;status;updated_at;user_id;website;whatsapp
;;;;;"[""Beauty""]";;5;Vasa Cosmetics Private Limited;;India;2026-05-26 09:00:46.284657+00;;;;false;;8a8d1a8f-2011-4e81-820c-92bfe01a08a5;;{};;;;4.2;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:46.284657+00;;https://export.indiamart.com/company/4573598/?&pos=1;
;;;;;"[""Beauty""]";;5;Grodium Technologies Pvt Ltd;;India;2026-05-26 09:00:46.881165+00;;;;false;;c5e1a3d7-6ebb-427d-9ac1-1f91b50247bb;;{};;;;4.6;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:46.881165+00;;https://export.indiamart.com/company/226359643/?&pos=2;
;;;;;"[""Beauty""]";;5;Pushti Care Exim;;India;2026-05-26 09:00:47.449532+00;;;;false;;b9c45e23-e976-44c2-94c5-74444c256138;;{};;;;4.4;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:47.449532+00;;https://export.indiamart.com/company/22453657/?&pos=3;
;;;;;"[""Beauty""]";;5;Nexus Global Med Hub;;India;2026-05-26 09:00:48.009411+00;;;;false;;03a874eb-4006-428b-8078-f8ac017a5c61;;{};;;;4.6;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:48.009411+00;;https://export.indiamart.com/company/229364765/?&pos=4;
;;;;;"[""Beauty""]";;5;Genexe Global Farmacy Private Limited;;India;2026-05-26 09:00:48.571036+00;;;;false;;55b967bd-8df4-4f7c-9483-7001a4a252b1;;{};;;;4.3;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:48.571036+00;;https://export.indiamart.com/company/6381903/?&pos=5;
;;;;;"[""Beauty""]";;5;Bo International;;India;2026-05-26 09:00:49.129104+00;;;;false;;7c38a83d-9257-475a-bfea-14ac9cad6aee;;{};;;;3.8;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:49.129104+00;;https://export.indiamart.com/company/43870616/?&pos=6;
;;;;;"[""Beauty""]";;5;Hnco Organics Private Limited;;India;2026-05-26 09:00:49.687386+00;;;;false;;18e6f477-d879-4aca-a796-e13b686323c6;;{};;;;4.4;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:49.687386+00;;https://export.indiamart.com/company/7835897/?&pos=7;
;;;;;"[""Beauty""]";;5;SR HERBAL CARE;;India;2026-05-26 09:00:50.246072+00;;;;false;;c4984b91-fc4b-42e6-9727-d592d61ad1e4;;{};;;;4.5;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:50.246072+00;;https://export.indiamart.com/company/12167522/?&pos=8;
;;;;;"[""Beauty""]";;5;A.G Industries;;India;2026-05-26 09:00:50.8031+00;;;;false;;2d196e64-9b69-401e-afa7-3e17b147c53a;;{};;;;4.1;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:00:50.8031+00;;https://export.indiamart.com/company/3074232/?&pos=9;
;;;;;"[""Beauty Products""]";Mumbai;5;Beauty Essentials Co.;;India;2026-05-26 09:00:51.363211+00;;;contact@beautyessentials.com;false;;38d20f0a-bd50-4c1d-9385-586e1ad7f843;;{};;9876543210;;4.5;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:51.363211+00;;https://www.beautyessentials.com;
;;;;;"[""Beauty Products""]";Delhi;5;Pure Spa;;India;2026-05-26 09:00:51.928518+00;;;info@purespa.com;false;;0e062f91-e98a-4b25-b7dc-49d52b383167;;{};;9998887776;;4.7;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:51.928518+00;;https://www.purespa.com;
;;;;;"[""Beauty Products""]";Bangalore;5;Nature's Touch;;India;2026-05-26 09:00:52.489371+00;;;support@naturetouch.com;false;;645457c7-9148-4a4d-90ff-b08847280360;;{};;9988776655;;4.8;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:52.489371+00;;https://www.naturetouch.com;
;;;;;"[""Beauty Accessories""]";Chennai;5;Glamour Pro;;India;2026-05-26 09:00:53.055615+00;;;hello@glamourpro.com;false;;b1cf65f4-e64f-497a-af6e-d7ff03e73e18;;{};;9876541234;;4.6;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:53.055615+00;;https://www.glamourpro.com;
;;;;;"[""Skin Care""]";Pune;5;Youthful Skin;;India;2026-05-26 09:00:53.606187+00;;;sales@youthfulskin.com;false;;48035972-3a6e-4bb6-bf1a-1455e194efb0;;{};;9123456789;;4.9;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:53.606187+00;;https://www.youthfulskin.com;
;;;;;"[""Body Care""]";Ahmedabad;5;Green Glow;;India;2026-05-26 09:00:54.164533+00;;;contact@greenglow.com;false;;2d67be9e-f082-4bd7-9b46-1ee3865aabd4;;{};;9996665555;;4.4;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:54.164533+00;;https://www.greenglow.com;
;;;;;"[""Skin Care""]";Mumbai;5;Radiance;;India;2026-05-26 09:00:54.738764+00;;;info@radiance.com;false;;38ee00a0-5425-49d2-9512-3336492b9c73;;{};;7778889999;;4.6;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:54.738764+00;;https://www.radiance.com;
;;;;;"[""Face Masks""]";Kolkata;5;Nature's Essence;;India;2026-05-26 09:00:55.37864+00;;;support@naturesessence.com;false;;c3d28325-aad1-41b8-b758-9f4fe0d17aec;;{};;1112223333;;4.5;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:55.37864+00;;https://www.naturesessence.com;
;;;;;"[""Hair Care""]";Hyderabad;5;Luxe Hair;;India;2026-05-26 09:00:56.028774+00;;;contact@luxehair.com;false;;ed901f39-07d9-4b93-a277-20741adef836;;{};;4445556666;;4.3;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:56.028774+00;;https://www.luxehair.com;
;;;;;"[""Fragrances""]";Delhi;5;Elite Scents;;India;2026-05-26 09:00:56.70134+00;;;support@elitescents.com;false;;4d96d71d-7663-481e-8a4c-493a6349d739;;{};;3332221111;;4.7;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:00:56.70134+00;;https://www.elitescents.com;
;;;;;"[""Beauty Cream""]";N/A;5;Guru Krupa Exim;;India;2026-05-26 09:03:07.8096+00;;;;false;;2a441abd-ec73-4825-948a-f817286ab535;;{};;;;4.8;0;true;scraped;https://dir.indiamart.com/search.mp?ss=Beauty;;approved;2026-05-26 09:03:07.8096+00;;;
;;;;;"[""Beauty""]";Mumbai;5;Herbal Remedies;;India;2026-05-26 09:03:08.38356+00;;;info@herbalremedies.com;false;;302d4698-f855-46bd-ad24-199c440eba68;;{};;9876543210;;4.5;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:08.38356+00;;https://www.herbalremedies.com;
;;;;;"[""Beauty""]";Pune;5;Organic Skincare;;India;2026-05-26 09:03:08.963856+00;;;contact@organicskincare.com;false;;676dabfb-a89a-4500-9780-804d2b84efaa;;{};;8765432109;;4.7;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:08.963856+00;;https://www.organicskincare.com;
;;;;;"[""Beauty""]";Delhi;5;Aloe Naturals;;India;2026-05-26 09:03:09.526346+00;;;sales@aloenaturals.com;false;;84dc80d7-34da-4fee-b3af-e78f25156620;;{};;9998887776;;4.8;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:09.526346+00;;https://www.aloenaturals.com;
;;;;;"[""Beauty""]";Bangalore;5;Charcoal Co.;;India;2026-05-26 09:03:10.082752+00;;;support@charcoalco.com;false;;a21c69ec-f198-4c1e-bb66-10e5c7ab52ca;;{};;7998887766;;4.6;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:10.082752+00;;https://www.charcoalco.com;
;;;;;"[""Beauty""]";Chennai;5;Luxury Bath Co.;;India;2026-05-26 09:03:10.657372+00;;;info@luxurybath.com;false;;93606c51-8ce7-4bb9-bba8-a151a493884a;;{};;7568742365;;4.9;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:10.657372+00;;https://www.luxurybath.com;
;;;;;"[""Beauty""]";Hyderabad;5;Lip Essentials;;India;2026-05-26 09:03:11.216926+00;;;hello@lipessentials.com;false;;f7f0cdfc-a223-4f0d-8b22-eb3fc63b2390;;{};;9123456789;;4.4;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:11.216926+00;;https://www.lipessentials.com;
;;;;;"[""Beauty""]";Ahmedabad;5;Glow Masks;;India;2026-05-26 09:03:11.778791+00;;;info@glowmasks.com;false;;aaa7dab4-2d1d-4d4e-aabb-9118255646de;;{};;8098765432;;4.3;0;true;scraped;https://www.justdial.com/search?q=wholesale%20Beauty;;approved;2026-05-26 09:03:11.778791+00;;https://www.glowmasks.com;
