ai_insight;ai_score;category;created_at;currency;dedupe_hash;description;estimated_margin_pct;external_id;hero_image;id;images;is_active;lead_time_days;moq;price_max;price_min;rating;raw_json;reviews_count;ships_pan_india;source;source_url;subcategory;suggested_retail_price;supplier_city_cached;supplier_email_full;supplier_id;supplier_name_cached;supplier_phone_full;supplier_phone_masked;tags;title;updated_at
;70;home;2026-05-26 09:15:54.24226+00;INR;indiamart:title:black handcrafted iron water pot showpiece rustic vintage home decor item;Dust With Dry Cloth, Packaging Type: Box;;;https://5.imimg.com/data5/SELLER/Default/2025/9/543957460/JM/ZF/GQ/193782375/img-20250909-wa0009-250x250.jpg;c9393801-9c4a-490d-a965-188d80698bc6;[];true;;50;850;850;4;"{""category"":""Home Decor"",""description"":""Dust With Dry Cloth, Packaging Type: Box"",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2025/9/543957460/JM/ZF/GQ/193782375/img-20250909-wa0009-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2857507059233&pos=1&kwd=home%20decor&tags=A||||8319.425|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12840|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-0-0-10-0|qrd:260616|mrd:260520|prdt:260616&src_ref=c3JjX3JlZj0xOTM3ODIzNzU="",""moq"":50,""price_max"":850,""price_min"":850,""rating"":4,""reviews_count"":24,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Neer Exports"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Black Handcrafted Iron Water Pot Showpiece Rustic Vintage Home Decor Item""}";24;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;9b3ec2f8-e337-4a19-be04-94aabcb3199e;Neer Exports;;;"[""home""]";Black Handcrafted Iron Water Pot Showpiece Rustic Vintage Home Decor Item;2026-06-18 02:01:48.263087+00
;70;home;2026-05-26 09:15:55.385515+00;INR;indiamart:title:decorative home chatri, polyresin;Colorful polyresin decorative item for home.;;;https://5.imimg.com/data5/SELLER/Default/2024/6/426873276/FA/HY/PV/220539906/chatra-04-250x250.jpg;31d18994-b207-4a7e-8a54-be16bed2c1a2;[];true;;10;120;120;4.2;"{""category"":""Home Decor"",""description"":""Colorful polyresin decorative item for home."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2024/6/426873276/FA/HY/PV/220539906/chatra-04-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2854262304655&pos=2&kwd=home%20decor"",""moq"":10,""price_max"":120,""price_min"":120,""rating"":4.2,""reviews_count"":19,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Samarpan International Private Limited"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[""polyresin"",""decor"",""home""],""title"":""Decorative Home Chatri, Polyresin""}";19;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;766d8b0f-3b5f-41ed-a6e8-8086689abdaf;Samarpan International Private Limited;;;"[""polyresin"",""decor"",""home""]";Decorative Home Chatri, Polyresin;2026-07-16 02:01:39.114093+00
;70;home;2026-05-26 09:15:56.603583+00;INR;indiamart:title:iron brown home decoration pieces;Dust With Dry Cloth, Packaging Type: Box;;;https://5.imimg.com/data5/SELLER/Default/2025/10/555615717/FH/BW/TF/2216895/home-decoration-pieces-250x250.jpg;3c9f8837-c81a-415f-b2b8-f2faddecb56f;[];true;;1;3500;3500;4.3;"{""category"":""Home Decor"",""description"":""Dust With Dry Cloth, Packaging Type: Box"",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2025/10/555615717/FH/BW/TF/2216895/home-decoration-pieces-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=21699717588&pos=4&kwd=home%20decor&tags=A||||9140.514|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12834|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-0-0-10-0|qrd:260604|mrd:260520|prdt:260604&src_ref=c3JjX3JlZj0yMjE2ODk1"",""moq"":1,""price_max"":3500,""price_min"":3500,""rating"":4.3,""reviews_count"":137,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Bastar Arts"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Iron Brown Home Decoration Pieces""}";137;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;09aeec6a-02ae-4f5b-979e-3a047b3e2184;Bastar Arts;;;"[""home""]";Iron Brown Home Decoration Pieces;2026-06-06 02:01:43.79662+00
;70;home;2026-05-26 09:15:57.573753+00;INR;indiamart:title:home decoration artificial parrot;Artificial parrot decoration piece.;;;https://5.imimg.com/data5/RO/LM/MY-6748038/home-decoration-parrot-250x250.jpg;291d8d3a-44b2-4ed5-ac29-f4c9d1e36995;[];true;;1;420;420;4.3;"{""category"":""Home Decor"",""description"":""Artificial parrot decoration piece."",""hero_image"":""https://5.imimg.com/data5/RO/LM/MY-6748038/home-decoration-parrot-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=19188683730&pos=4&kwd=home%20decor"",""moq"":1,""price_max"":420,""price_min"":420,""rating"":4.3,""reviews_count"":71,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Jaipur Handicrafts N Textiles Exports"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[""artificial"",""parrot"",""decor""],""title"":""Home Decoration Artificial Parrot""}";71;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;b3258847-51a7-4ca2-9d0f-cf1bf7a5296d;Jaipur Handicrafts N Textiles Exports;;;"[""artificial"",""parrot"",""decor"",""home""]";Home Decoration Artificial Parrot;2026-07-16 02:01:39.625619+00
;70;home;2026-05-26 09:15:58.371601+00;INR;indiamart:title:multicolor home decor item showpiece, for decoration;Stylish showpiece for enhancing home decor.;;;https://5.imimg.com/data5/SELLER/Default/2023/1/XF/HD/RB/4429961/new-product-250x250.jpeg;7b37e250-934f-44de-8954-1a61e077f6ca;[];true;;1;250;250;4.7;"{""category"":""Home Decor"",""description"":""Stylish showpiece for enhancing home decor."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2023/1/XF/HD/RB/4429961/new-product-250x250.jpeg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2849774699455&pos=4&kwd=home%20decor&tags=A||||8601.347|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12795|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-1-0-9-0|qrd:260712|mrd:260520|prdt:260712&src_ref=c3JjX3JlZj00NDI5OTYx"",""moq"":1,""price_max"":250,""price_min"":250,""rating"":4.7,""reviews_count"":87,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Murli Handicraft"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Multicolor Home Decor Item Showpiece, For Decoration""}";87;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;fba859f4-6daf-4e00-8633-b75602848a4c;Murli Handicraft;;;"[""home""]";Multicolor Home Decor Item Showpiece, For Decoration;2026-07-13 02:02:14.703931+00
;70;home;2026-05-26 09:15:59.17799+00;INR;indiamart:title:green,maroon aluminum home decoration show piece, for decorative;Aluminum showpiece for creative decorations.;;;https://5.imimg.com/data5/SELLER/Default/2024/8/443477025/MI/CU/VJ/222580863/home-decoration-show-piece-250x250.jpg;20fb9cb2-0713-4e3e-a7b4-38e1a1b68371;[];true;;1;1850;1850;4.2;"{""category"":""Home Decor"",""description"":""Aluminum showpiece for creative decorations."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2024/8/443477025/MI/CU/VJ/222580863/home-decoration-show-piece-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2854640462991&pos=7&kwd=home%20decor&tags=A||||8915.672|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12840|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-0-0-10-0|qrd:260616|mrd:260520|prdt:260616&src_ref=c3JjX3JlZj0yMjI1ODA4NjM="",""moq"":1,""price_max"":1850,""price_min"":1850,""rating"":4.2,""reviews_count"":16,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Pan World Exports"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Green,Maroon Aluminum Home Decoration Show Piece, For Decorative""}";16;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;3f5d1f6f-08f0-419f-ada5-94b0b6702e4c;Pan World Exports;;;"[""home""]";Green,Maroon Aluminum Home Decoration Show Piece, For Decorative;2026-06-16 02:01:43.610421+00
;55;home;2026-05-26 09:15:59.961745+00;INR;indiamart:title:home decor, metal;Stylish metal decor item for modern living spaces.;;;https://5.imimg.com/data5/SELLER/Default/2026/1/578548277/WF/QR/NV/135137675/product-jpeg-250x250.jpg;9523fa3d-332d-4374-a72f-e483b90789d3;[];true;;1;3789;3789;4;"{""category"":""Home Decor"",""description"":""Stylish metal decor item for modern living spaces."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2026/1/578548277/WF/QR/NV/135137675/product-jpeg-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2858652578930&pos=7&kwd=home%20decor&tags=A||||8915.672|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12807|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-0-1-9-0|qrd:260529|mrd:260520|prdt:260529&src_ref=c3JjX3JlZj0xMzUxMzc2NzU="",""moq"":1,""price_max"":3789,""price_min"":3789,""rating"":4,""reviews_count"":2,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""AL Faiz Exports"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Home Decor, Metal""}";2;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;285ae1a5-1b59-43c1-950e-8e157278a660;AL Faiz Exports;;;"[""home""]";Home Decor, Metal;2026-05-31 02:01:34.33346+00
;60;home;2026-05-26 09:16:00.739538+00;INR;indiamart:title:latest cardboard stylish home decorative items, size/dimension: 4 inch, don't wa;Stylish cardboard decorative items that are lightweight and perfect for home decoration.;;;https://5.imimg.com/data5/SELLER/Default/2023/9/348393833/XL/YS/SS/256252/stylish-decor-item-250x250.jpeg;d6d4ca10-5166-4866-b301-9f3e3d5c2095;[];true;;200;43;43;3.8;"{""category"":""Home Decor"",""description"":""Stylish cardboard decorative items that are lightweight and perfect for home decoration."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2023/9/348393833/XL/YS/SS/256252/stylish-decor-item-250x250.jpeg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=4292576591&pos=8&kwd=home%20decor&tags=A||||8915.672|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12789|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-0-1-9-0|qrd:260601|mrd:260520|prdt:260601&src_ref=c3JjX3JlZj0yNTYyNTI="",""moq"":200,""price_max"":43,""price_min"":43,""rating"":3.8,""reviews_count"":19,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""High Standard Products"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Latest Cardboard Stylish Home Decorative Items, Size/Dimension: 4 Inch, Don't Wash""}";19;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;52517dab-8345-4c49-84c2-66df90365dd9;High Standard Products;;;"[""home""]";Latest Cardboard Stylish Home Decorative Items, Size/Dimension: 4 Inch, Don't Wash;2026-06-02 02:02:05.97124+00
;70;home;2026-05-26 09:16:01.595208+00;INR;indiamart:title:decorative deer set showpiece, alluminium;Set of aluminum deer showpieces, great for decoration.;;;https://5.imimg.com/data5/SELLER/Default/2024/8/441824733/GS/LO/GZ/14424623/-8508286-2-250x250.jpg;a1ccefc3-e517-4635-9443-1a327274c7d0;[];true;;25;500;500;4.4;"{""category"":""Home Decor"",""description"":""Set of aluminum deer showpieces, great for decoration."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2024/8/441824733/GS/LO/GZ/14424623/-8508286-2-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2854625631597&pos=9&kwd=home%20decor&tags=A||||8601.347|Price|product||-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|cs:12807|com-cf:lw|ptrs:na|mc:95841|cat:118|qry_typ:P|lang:en|rtn:0-0-0-1-0-9-0|qrd:260619|mrd:260520|prdt:260619&src_ref=c3JjX3JlZj0xNDQyNDYyMw=="",""moq"":25,""price_max"":500,""price_min"":500,""rating"":4.4,""reviews_count"":193,""supplier_city"":""Not Specified"",""supplier_email"":"""",""supplier_name"":""Handicraft Hub India"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[],""title"":""Decorative Deer Set Showpiece, Alluminium""}";193;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;Not Specified;;9ca3fcdf-e1ed-46f9-87e7-c4b099a185ae;Handicraft Hub India;;;"[""home""]";Decorative Deer Set Showpiece, Alluminium;2026-06-19 02:02:26.025353+00
;70;home;2026-05-26 09:16:02.381339+00;INR;indiamart:title:table decor antique sitting musician, metal;Antique musician figurine to enhance your home decor.;;;https://5.imimg.com/data5/SELLER/Default/2026/5/6118914603062/71ch-bvfrcl-sl1500-250x250.jpg;f309e4f8-e77b-4ed9-a510-62df8f682c5f;[];true;;10;1200;1200;4.7;"{""category"":""Decorative Items"",""description"":""Antique musician figurine to enhance your home decor."",""hero_image"":""https://5.imimg.com/data5/SELLER/Default/2026/5/6118914603062/71ch-bvfrcl-sl1500-250x250.jpg"",""images"":[],""listing_url"":""https://export.indiamart.com/products/?id=2858914603062&pos=9&kwd=home%20decor"",""moq"":10,""price_max"":1200,""price_min"":1200,""rating"":4.7,""reviews_count"":13,""supplier_city"":"""",""supplier_email"":"""",""supplier_name"":""Artgoers India Private Limited"",""supplier_phone"":"""",""supplier_website"":"""",""tags"":[""home decor"",""musician"",""metal"",""figurine""],""title"":""Table Decor Antique Sitting Musician, Metal""}";13;true;indiamart;https://dir.indiamart.com/search.mp?ss=home+decor;;;;;24c2c39e-efb0-4b9c-8dba-2484c0df9418;Artgoers India Private Limited;;;"[""home decor"",""musician"",""metal"",""figurine"",""home""]";Table Decor Antique Sitting Musician, Metal;2026-07-05 02:01:30.862374+00
